No,날짜,카테고리,제목,원문텍스트,텍스트_정제,형태소,시기구분,추천수
1900-08-06 00:00:00,2025-09-11,학사/행정,와 내가 학교다닐때 이랬으면 개같았겠다,"대동제 라인업보니까 문제 있는데 왜들 조용하냐 아이들아 너네 등록금 안암 애들이랑 똑같이 내는데
안 억울하니 총학 조져야지
(내가 하고싶은 말은 팩트로 횡령했다가 아니고 의심이 든다 이거고 사실여부는 너네가 총학이나 학교에 요구해야 해 애들아 어떻게든 되겠지 하고 가만히 있으면 아무 일도 안 생겨, 너네 등록금 한 학기에 4백 넘게 내지 달로 치면 백 이상아니냐 너네 계좌 거쳐서 나가는 돈 아니라 체감이 안 되겠지만 큰 돈이다 너네 자취방 월세에 용돈까지 하면 부모님 월급에서 달에 이백씩 나가는거야 힘들게 버신 돈 허투루 쓰이면 안되자나 )",와 내가 학교다닐때 이랬으면 개같았겠다 대동제 라인업보니까 문제 있는데 왜들 조용하냐 아이들아 너네 등록금 안암 애들이랑 똑같이 내는데 안 억울하니 총학생회 조져야지 내가 하고싶은 말은 팩트로 횡령했다가 아니고 의심이 든다 이거고 사실여부는 너네가 총학생회이나 학교에 요구해야 해 애들아 어떻게든 되겠지 하고 가만히 있으면 아무 일도 안 생겨 너네 등록금 한 학기에 4백 넘게 내지 달로 치면 백 이상아니냐 너네 계좌 거쳐서 나가는 돈 아니라 체감이 안 되겠지만 큰 돈이다 너네 자취방 월세에 용돈까지 하면 부모님 월급에서 달에 이백씩 나가는거야 힘들게 버신 돈 허투루 쓰이면 안되자나,다니다 이렇다 대동제 라인 업보 조용하다 아이 등록금 안암 억울하다 총학생회 좋다 팩트 횡령 의심 사실 여부 총학생회 요구 아무 일도 생기다 등록금 학기 넘다 내지 치면 이상 계좌 거치다 나가다 체감 크다 자취 월세 용돈 부모님 월급 이백 나가다 힘들다 버신 허투루 쓰이다,평소,1900
1900-08-07 00:00:00,2025-06-10,학사/행정,국가근로 월급,"어제 지급처리중 떴는데 왜 아직도 안 들어오냐
저 거지라구요ㅠ",국가근로 월급 어제 지급처리중 떴는데 왜 아직도 안 들어오냐 저 거지라구요ㅠ,국가 근로 월급 어제 지급 뜨다 들어오다 지르다,시험기간,0
1900-08-08 00:00:00,2026-03-05,학사/행정,글잉,"증원할거면 화끈하게 50명씩 증원해라
그냥 서서 수업들을게",글로벌잉글리시 증원할거면 화끈하게 50명씩 증원해라 그냥 서서 수업들을게,글로벌잉글리시 증원 화끈하다 증원 서서 수업,평소,1900
1900-08-09 00:00:00,2026-03-05,학사/행정,제발 ,"핵교, 글잉 같은 졸업 필수 교과목은 자리를 좀 넉넉하게 만들어줘라!! ㅠㅠ",제발 핵교 글로벌잉글리시 같은 졸업 필수 교과목은 자리를 좀 넉넉하게 만들어줘라,제발 핵교 글로벌잉글리시 졸업 필수 교과목 자리 넉넉하다,평소,1900
1900-08-10 00:00:00,2026-03-04,학사/행정,글잉3 증원해 제발,글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해제발글잉3증원해,글로벌잉글리시3 증원해 제발 글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해제발글로벌잉글리시3증원해,글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원 제발 글로벌잉글리시 증원,평소,1900
1900-08-11 00:00:00,2026-03-04,학사/행정,그냥 글잉도,1학년처럼 짜주면 안되나 이럴거면 그냥 짜주는게 나을듯ㅋㅋ,그냥 글로벌잉글리시도 1학년처럼 짜주면 안되나 이럴거면 그냥 짜주는게 나을듯,글로벌잉글리시 학년 짜다 이렇다 짜다,평소,1900
1900-08-12 00:00:00,2026-03-04,학사/행정,아니 씨ㅏㅏ발,야 글잉 미수강자 분반에 도대체 왜 1학년 수강자가 있는거임? 미수강자들은 뭐 들으라고,아니 씨ㅏㅏ발 야 글로벌잉글리시 미수강자 분반에 도대체 왜 1학년 수강자가 있는거임 미수강자들은 뭐 들으라고,글로벌잉글리시 밉다 수강 분반 도대체 학년 수강 밉다 수강,평소,0
1900-08-13 00:00:00,2026-02-12,학사/행정,글잉 34는 왜,"12 처럼 자동으로 안해주냐
34도 12처럼 2학년에 자동으로 다 배정하고 끝내면 ㅈㄴ깔끔한데 그럼 고학년생들도 안몰리고 왜 이러는걸까
수강인원도 적은데ㅜ",글로벌잉글리시 34는 왜 12 처럼 자동으로 안해주냐 34도 12처럼 2학년에 자동으로 다 배정하고 끝내면 존나깔끔한데 그럼 고학년생들도 안몰리고 왜 이러는걸까 수강인원도 적은데ㅜ,글로벌잉글리시 늘다 처럼 자동 처럼 학년 자동 배정 끝내다 존나 깔끔하다 그렇다 고학년 몰리다 이르다 끄다 강인원 적다,평소,1900
1900-08-14 00:00:00,2026-02-12,학사/행정,글잉 안된 사람들 메일 다같이 써야함 개같은 학교,2학년 과목을 3-4학년이 다 듣는데 어캐 하라고,글로벌잉글리시 안된 사람들 메일 다같이 써야함 개같은 학교 2학년 과목을 3 4학년이 다 듣는데 어캐 하라고,글로벌잉글리시 메일 써다 학년 과목 학년 듣다 어캐 하라,평소,1900
1900-08-15 00:00:00,2026-02-12,학사/행정,아니 글잉 진짜,아니 도대체 왤케 인원이 적은거임? 아잉 때문에 분반이 적어도 수강인원은 17명일 이유가 없잖아 농심에 30명씩은 걍 들어가는데 정말 이해가 안되네,아니 글로벌잉글리시 진짜 아니 도대체 왤케 인원이 적은거임 아잉 때문에 분반이 적어도 수강인원은 17명일 이유가 없잖아 농심에 30명씩은 걍 들어가는데 정말 이해가 안되네,글로벌잉글리시 도대체 왤케 인원 적다 때문 분반 강인원 명일 이유 농심 들어가다 이해,평소,0
1900-08-16 00:00:00,2026-02-25,학사/행정,총학 횡령한거임?,"솔직히 이건 좀 아니잖아.

아니면 그냥 순수 무능함임?

부끄러운줄 알아야지! 총사퇴하십쇼",총학생회 횡령한거임 솔직히 이건 좀 아니잖아 아니면 그냥 순수 무능함임 부끄러운줄 알아야지 총사퇴하십쇼,총학생회 횡령 거임 솔직하다 이건 순수 무능하다 부끄럽다 사퇴,평소,1900
1900-08-17 00:00:00,2025-12-04,학사/행정,안하면 개돼지라 하지말고,"해야하는 이유를 설명해보셈
그동안 간절하다고 그 난리를 쳐서 투표했더니 지난날들의 결과는? 서이브 데려오기 횡령하기가 간절했던 학생을 위해 봉사하겠다는 놈들임?
내 눈엔 장학금 날먹하고 감투써서 우쭐대고 싶어하는 놈들로만 보임.
근데 어쩌냐 반대해도 개표하면 친구들 앞세워서 뽑히는데 그래서 무투임.
설득해보셈",안하면 개돼지라 하지말고 해야하는 이유를 설명해보셈 그동안 간절하다고 그 난리를 쳐서 투표했더니 지난날들의 결과는 서이브 데려오기 횡령하기가 간절했던 학생을 위해 봉사하겠다는 놈들임 내 눈엔 장학금 날먹하고 감투써서 우쭐대고 싶어하는 놈들로만 보임 근데 어쩌냐 반대해도 개표하면 친구들 앞세워서 뽑히는데 그래서 무투임 설득해보셈,개돼지 이유 설명 그동안 간절하다 난리 투표 지난날 결과 이브 데려오다 횡령 간절하다 학생 위해 봉사 들이다 장학금 감투 써다 우쭐대다 로만 보임 어쩌 반대 개표 친구 앞세우다 뽑히다 무투 설득,시험기간,1900
1900-08-18 00:00:00,2025-09-26,학사/행정,몇몇 애들 글삭튀했다고,"갑자기 비대위원 애들 기세등등해져서 에타 점령한거 ㅈㄴ 꼴뵈기 싫고 열받네 ㅋㅋ
횡령 아니었더라도 라인업 개판이었던거 맞고 어느 학교였던간에 비난받을 수준이었던게 팩트
서이브때메 전국적으로 학교 조롱 오지게 당했는데 그거 비판한 재학생 상대로 고소드립치고 있는것 또한 2차로 조롱당할 요소라는건 앎 비대위 친구들아?
뭐 이 글도 고소할라면 해보든지 ㅋㅋㅋㅋ",몇몇 애들 글삭튀했다고 갑자기 비대위원 애들 기세등등해져서 에타 점령한거 존나 꼴뵈기 싫고 열받네 횡령 아니었더라도 라인업 개판이었던거 맞고 어느 학교였던간에 비난받을 수준이었던게 팩트 서이브때메 전국적으로 학교 조롱 오지게 당했는데 그거 비판한 재학생 상대로 고소드립치고 있는것 또한 2차로 조롱당할 요소라는건 앎 비대위 친구들아 뭐 이 글도 고소할라면 해보든지,몇몇 글삭 튀다 갑자기 비대 위원 기세 등등하다 에타 점령 존나 뵈다 싫다 횡령 라인업 개판 비난 수준 팩트 이브 때메 전국 조롱 오지 당하다 그거 비판 재학생 상대로 드립 또한 차로 조롱 당하다 요소 대위 친구 고소하다,평소,1900
1900-08-19 00:00:00,2025-09-24,학사/행정,예산을 공개한 미래에서 왔슴돠,"예산이 많았는데 제대로 못 부른 경우 + 회계상 문제 없는 경우 -> 무능
예산이 많았는데 중간에 해먹어서 회계상 문제가 있는 경우 -> 횡령
예산이 많지 않아서 소규모로 진행 된 경우 -> 학교에서 돈 더 못받아낸것 + 스폰서 못 찾은 무능
연애인 섭외비용을 공개한 경우 -> 영업상 비밀 의무 위반한 고려대 세종 비대위
행사 용역사 비용을 공개한 경우 -> 입찰 규정 및 과정 공개하라고 이슈 변화
(특히 뒷돈 받았는지 증명하라는 등의 증명 못하는 이슈로 전환)
통장 내역을 블러처리해서 공개한 경우 -> 블러 빼라고 난리
블러 뺀건 오프라인 와서 보라고 하면 왜 온라인으로 공개 안하냐고 난리",예산을 공개한 미래에서 왔슴돠 예산이 많았는데 제대로 못 부른 경우 회계상 문제 없는 경우 무능 예산이 많았는데 중간에 해먹어서 회계상 문제가 있는 경우 횡령 예산이 많지 않아서 소규모로 진행 된 경우 학교에서 돈 더 못받아낸것 스폰서 못 찾은 무능 연애인 섭외비용을 공개한 경우 영업상 비밀 의무 위반한 고려대 세종 비대위 행사 용역사 비용을 공개한 경우 입찰 규정 및 과정 공개하라고 이슈 변화 특히 뒷돈 받았는지 증명하라는 등의 증명 못하는 이슈로 전환 통장 내역을 블러처리해서 공개한 경우 블러 빼라고 난리 블러 뺀건 오프라인 와서 보라고 하면 왜 온라인으로 공개 안하냐고 난리,예산 공개 미래 왔슴돠 예산 많다 제대로 부르다 경우 회계 경우 무능 예산 많다 중간 해먹 회계 경우 횡령 예산 많다 소규모 진행 경우 스폰서 찾다 무능 연애 섭외 비용 공개 경우 영업 비밀 의무 위반 대위 행사 역사 비용 공개 경우 입찰 규정 과정 공개 이슈 변화 뒷돈 증명 증명 이슈 전환 통장 블러 공개 경우 블러 난리 블러 빼다 오프라인 보라 온라인 공개 난리,평소,1900
1900-08-20 00:00:00,2025-09-20,학사/행정,그냥..,"서이브 이슈
솔직하게 생각하는거 써봅니다.

1. 너무 무지성같아요.
누구는 서이브 왜오냐하고,
누구는 오는 것 보다 섭외한 비대위가 문제라 하고,
누구는 부른건 상관없는데 분명 횡령이라 하고,
누구는 횡령이 아니면 더 심각한거라 하고

뭘 원하는건지 모르겠어요 횡령이길 바라는건지 뭔지
그냥 다들 라인업 별로라고 싫증내는걸로 보여요

2. 왜 그렇게까지 화가 났나요.
학교 이미지 안좋아지고 릴스 폭격맞고 다 팩트긴 한데, 편지를 뭐라하는건 이해가 안가요.
아직 우리보다도 한참 어린 사람이고, 욕먹을 각오를 했다해도 욕하는 사람이 잘못인건 다르지 않잖아요.
이슈가 됐고, 마음고생했을 것 같아서 도의적으로라도 편지 한 장 전달한게 어찌보면 당연한 것 아닌가 싶은데요..
물론 횡령이 아니라고 가정했을 때요

3. 비대위 책임
a. 횡령일 시
횡령 자체가 잘못.
횡령 모의 가능한 대행사로 선정한 경우 더 큰 잘못.
이 경우 법적 처벌까지 되면 좋을 것 같아요.
b. 횡령 아닐 시
비대위는 딱히 잘못없다고 생각해요.
능력부족이 더 문제니 뭐니 하는데, 그건 선출된 학생회한테나 가능한 소리라고 생각해요.
축제랑 일이랑 열심히 해보겠다는 후보가 없었던 것도 아니고 우리가 안뽑았잖아요.

솔직히 라인업 저도 당연히 실망했지만서도 불평은 안합니다. 제가 투표를 했었든 안했든 학생들 전체의 의견이 투표로 정해지고, 결과적으로 비대위잖아요.
비대위여도 축제 잘만 진행된다고 안일하게 생각한게 아쉬운 점이라고 생각해요.

다만 비대위의 경우에 전년 대비 행사 예산 축소 혹은 이월 등에 대한 내용은 명시돼야 한다고 생각해요.

4. 장부공개
원칙대로 하겠죠. 연예인들 섭외 단가 나름 민감할텐데 외부로 공개못하는게 당연하다 생각하고, 내부적으로 감사?던 공청회던 진행할거라 믿고 기다립니다.
못믿고 계속 요청하는 분들 심정 이해하긴 하는데, 그러실거면 명분을 명확히해서 요청하시면 더 좋을 것 같아요. 위에 썼듯이 사람들 불만이 다 다르던데요..

사람들 화난거 그럴수 있지 하면서 넘겼는데, 별것도 아닌 편지에까지 화내는거 보고 글 한번 써봐요.

그리고 비대위는 입장문에서 언급했던 공청회 관련한 추가 입장문, 속히 내주시면 좋을 것 같네요.
할건지 말건지 언제할건지요.",그냥 서이브 이슈 솔직하게 생각하는거 써봅니다 1 너무 무지성같아요 누구는 서이브 왜오냐하고 누구는 오는 것 보다 섭외한 비대위가 문제라 하고 누구는 부른건 상관없는데 분명 횡령이라 하고 누구는 횡령이 아니면 더 심각한거라 하고 뭘 원하는건지 모르겠어요 횡령이길 바라는건지 뭔지 그냥 다들 라인업 별로라고 싫증내는걸로 보여요 2 왜 그렇게까지 화가 났나요 학교 이미지 안좋아지고 릴스 폭격맞고 다 팩트긴 한데 편지를 뭐라하는건 이해가 안가요 아직 우리보다도 한참 어린 사람이고 욕먹을 각오를 했다해도 욕하는 사람이 잘못인건 다르지 않잖아요 이슈가 됐고 마음고생했을 것 같아서 도의적으로라도 편지 한 장 전달한게 어찌보면 당연한 것 아닌가 싶은데요 물론 횡령이 아니라고 가정했을 때요 3 비대위 책임 a 횡령일 시 횡령 자체가 잘못 횡령 모의 가능한 대행사로 선정한 경우 더 큰 잘못 이 경우 법적 처벌까지 되면 좋을 것 같아요 b 횡령 아닐 시 비대위는 딱히 잘못없다고 생각해요 능력부족이 더 문제니 뭐니 하는데 그건 선출된 학생회한테나 가능한 소리라고 생각해요 축제랑 일이랑 열심히 해보겠다는 후보가 없었던 것도 아니고 우리가 안뽑았잖아요 솔직히 라인업 저도 당연히 실망했지만서도 불평은 안합니다 제가 투표를 했었든 안했든 학생들 전체의 의견이 투표로 정해지고 결과적으로 비대위잖아요 비대위여도 축제 잘만 진행된다고 안일하게 생각한게 아쉬운 점이라고 생각해요 다만 비대위의 경우에 전년 대비 행사 예산 축소 혹은 이월 등에 대한 내용은 명시돼야 한다고 생각해요 4 장부공개 원칙대로 하겠죠 연예인들 섭외 단가 나름 민감할텐데 외부로 공개못하는게 당연하다 생각하고 내부적으로 감사 던 공청회던 진행할거라 믿고 기다립니다 못믿고 계속 요청하는 분들 심정 이해하긴 하는데 그러실거면 명분을 명확히해서 요청하시면 더 좋을 것 같아요 위에 썼듯이 사람들 불만이 다 다르던데요 사람들 화난거 그럴수 있지 하면서 넘겼는데 별것도 아닌 편지에까지 화내는거 보고 글 한번 써봐요 그리고 비대위는 입장문에서 언급했던 공청회 관련한 추가 입장문 속히 내주시면 좋을 것 같네요 할건지 말건지 언제할건지요,이브 이슈 솔직하다 써다 무지 누구 이브 오냐 누구 섭외 대위 누구 부르다 상관없다 분명 횡령 누구 횡령 심각하다 원하다 건지다 횡령 이기다 바라다 건지다 라인업 별로 싫증 는걸 보이다 화가 이미지 안좋다 릴스 폭격 팩트 기다 편지 뭐라다 이해 한참 어리다 욕먹다 각오 다해 다르다 이슈 마음 고생 도의 편지 전달 어찌 당연하다 횡령 가정 대위 책임 횡령 횡령 자체 잘못 횡령 모의 가능하다 행사 선정 경우 크다 잘못 경우 법적 처벌 좋다 횡령 대위 딱하다 능력 부족 선출 학생회 가능하다 소리 축제 일이 후보 뽑다 솔직하다 라인업 당연하다 실망하다 서도 불평 투표 학생 전체 의견 투표 정해지다 결과 대위 잖다 대위 축제 잘만 진행 안일하다 아쉽다 다만 대위 경우 대비 행사 예산 축소 이월 대한 내용 명시 장부 공개 원칙 연예 섭외 단가 나름 민감하다 외부 공개 당연하다 부적 감사 공청회 진행 믿다 기다리다 믿다 계속 요청 심정 이해 그렇다 명분 명확하다 요청 좋다 써다 불만 다르다 화나다 그렇다 넘기다 별것 편지 보고 한번 써다 대위 입장 언급 공청회 관련 추가 입장 내주다 좋다 건지다 건지다 언제 건지다,평소,1900
1900-08-21 00:00:00,2025-09-18,학사/행정,동아리 횡령 신고할 수 있는곳 있나요?,"결론부터 얘기하면 동아리 총무가 단순히 동아리 돈을 사용한것을 넘어 저한테 정산되어야 할 물품등을 몰래 편취해갔습니다.

당사자도 인정한 상태인데 보상할 의지도 크게 없습니다. 총동아리연합회던지 어떤 기구든지 강제로 조사할 수 있는 곳이 있나요?
+ 이 일이 꽤 지난 일이라 혹시 동아리에서 회계장부 몇 학기 전것까지 보관하는지 아시는분?",동아리 횡령 신고할 수 있는곳 있나요 결론부터 얘기하면 동아리 총무가 단순히 동아리 돈을 사용한것을 넘어 저한테 정산되어야 할 물품등을 몰래 편취해갔습니다 당사자도 인정한 상태인데 보상할 의지도 크게 없습니다 총동아리연합회던지 어떤 기구든지 강제로 조사할 수 있는 곳이 있나요 이 일이 꽤 지난 일이라 혹시 동아리에서 회계장부 몇 학기 전것까지 보관하는지 아시는분,동아리 횡령 신고 결론 동아리 총무 단순하다 동아리 사용 넘다 정산 되어다 물품 몰래 편취 당사자 인정 상태 보상 의지 크게 동아리 연합 던지다 기구 강제 조사 지난 일이 혹시 동아리 회계 장부 학기 보관 아시,평소,1900
1900-08-22 00:00:00,2025-09-08,학사/행정,"옛날에도 횡령때문에 문제가 많긴 했는데
",그래도 축제에는 돈 좀 썼는데 이 라인업은 뭐냐 총학아 청출어람이냐? 횡령솜씨 보면 너네 선배를 뛰어 넘은 거 같다,옛날에도 횡령때문에 문제가 많긴 했는데 그래도 축제에는 돈 좀 썼는데 이 라인업은 뭐냐 총학생회아 청출어람이냐 횡령솜씨 보면 너네 선배를 뛰어 넘은 거 같다,옛날 횡령 때문 많다 축제 써다 라인업 총학생회 청출어람 횡령 솜씨 선배 뛰다 넘다,평소,1900
1900-08-23 00:00:00,2024-10-11,학사/행정,엘베는 언제 고침?,"씨바 횡령에 엘베는 언제 고치는지 모르겠네
학교 잘 돌아간다",엘베는 언제 고침 씨바 횡령에 엘베는 언제 고치는지 모르겠네 학교 잘 돌아간다,엘베 언제 고치다 씨바 횡령 엘베 언제 고치다 돌아가다,시험기간,1900
