No,날짜,카테고리,제목,원문텍스트,텍스트_정제,형태소,시기구분,추천수
1900-10-26 00:00:00,2025-04-13,학사/행정,새종학술정보원 사이트 서버문제인듯,되는 사람 없는것같은데,새종학술정보원 사이트 서버문제인듯 되는 사람 없는것같은데,학술정보원 사이트 서버,시험기간,0
1900-10-27 00:00:00,2025-03-02,학사/행정,기숙사 결핵검사,"제출한거 잘 승인됐는지 확인하려 하는데
학교 홈페이지 서버가 터진거 같네요……
내일 기숙사 들어가는데 결핵검사지 가져가야 할까요?
혹시 빠꾸먹으면 어떡하지 싶어서요ㅠ",기숙사 결핵검사 제출한거 잘 승인됐는지 확인하려 하는데 학교 홈페이지 서버가 터진거 같네요 내일 기숙사 들어가는데 결핵검사지 가져가야 할까요 혹시 빠꾸먹으면 어떡하지 싶어서요ㅠ,기숙사 결핵 검사 제출 승인 확인 홈페이지 서버 터지다 내일 기숙사 들어가다 결핵 검사 가져가다 혹시 빠꾸먹으 어떡하다,평소,0
1900-10-28 00:00:00,2026-03-06,복지/음료,택배함,"왜이렇게일찍닫아?ㅠㅠ
토요일도 안 하네.......
6시까지인줄 모르고 갔다가 완전 낭패봤다..........",택배함 왜이렇게일찍닫아 토요일도 안 하네 6시까지인줄 모르고 갔다가 완전 낭패봤다,택배 일찍 닫다 토요일 완전 낭패,평소,0
1900-10-29 00:00:00,2025-10-21,복지/음료,아 택배 누가 훔쳐감,배송완료떠서 신나게 집왔더니 택배가없노,아 택배 누가 훔쳐감 배송완료떠서 신나게 집왔더니 택배가없노,택배 누가 훔치다 배송 완료 뜨다 신나다 택배,시험기간,0
1900-10-30 00:00:00,2025-09-26,복지/음료,택배기사랑 싸우는중임,"난살면서 택배 1층에 던져놓고가는거 조치원와서 자취하면서 처음겪어보는데 어이가없고 열받아서
무거운물건만 그러는거면 택배기사들 힘든거 아니까 이해하겠는데 비싼물건 빼고 죄다 1층에 던져놓고가는거 개열받음
cj는 문자보낸이후로 차단한거보고
난 내권리를 찾아야겠다생각했음
롯택은 대화나눈후 집앞배송하겠다했고
cj는 택배 오배송으로 두번째 재교환중이고 고객센터 문의도 다해놨음",택배기사랑 싸우는중임 난살면서 택배 1층에 던져놓고가는거 조치원와서 자취하면서 처음겪어보는데 어이가없고 열받아서 무거운물건만 그러는거면 택배기사들 힘든거 아니까 이해하겠는데 비싼물건 빼고 죄다 1층에 던져놓고가는거 개열받음 cj는 문자보낸이후로 차단한거보고 난 내권리를 찾아야겠다생각했음 롯택은 대화나눈후 집앞배송하겠다했고 cj는 택배 오배송으로 두번째 재교환중이고 고객센터 문의도 다해놨음,택배 사랑 싸우다 중임 택배 던지다 조치원 서다 자취 처음 겪다 어이 무겁다 물건 그렇다 택배 기사 힘드다 이해 비싸다 물건 빼다 던지다 개열 늘다 문자 보내다 이후 차단 보고 권리 찾다 롯택 대화 나누다 집앞 배송 늘다 택배 배송 두번째 교환 고객 센터 문의,평소,1900
1900-10-31 00:00:00,2025-09-24,복지/음료,자취하는데 택배,"이거 씨제이만 자꾸1층에 놓는데 다들그럼?그지같넹 진짜
노트북이나 태블릿같이 대놓고 고가제품은 집앞에 놓는데 그외는 전부 1층에 던져놓고가더라
나는3층사는데2층까도 저래함",자취하는데 택배 이거 씨제이만 자꾸1층에 놓는데 다들그럼 그지같넹 진짜 노트북이나 태블릿같이 대놓고 고가제품은 집앞에 놓는데 그외는 전부 1층에 던져놓고가더라 나는3층사는데2층까도 저래함,자취 택배 씨제이 자꾸 놓다 그렇다 그지같다 노트북 태블릿 고가 제품 집앞 놓다 전부 던지다 끄다 저렇다,평소,1900
1900-11-01 00:00:00,2025-09-03,복지/음료,택배실 택배 분실,"8/31일경에 온 택배를 오늘 찾으러 갔습니다
정확히 기숙사 주소를 적지 않긴 했지만 똑같은 날 온 다른 택배는 진리관 부분에서 찾았기에 역시 찾을 수 있을거라 생각했습니다
근데 오늘 어딜 뒤져도 없어서 앞에 택배 배송사(?) 확인하시는 분들께 여쭈어보았는데도 성과가 없네오..
혹시 결론적으로 찾지 못하면 뭐 어떡해야하나요..?",택배실 택배 분실 8 31일경에 온 택배를 오늘 찾으러 갔습니다 정확히 기숙사 주소를 적지 않긴 했지만 똑같은 날 온 다른 택배는 기숙사 부분에서 찾았기에 역시 찾을 수 있을거라 생각했습니다 근데 오늘 어딜 뒤져도 없어서 앞에 택배 배송사 확인하시는 분들께 여쭈어보았는데도 성과가 없네오 혹시 결론적으로 찾지 못하면 뭐 어떡해야하나요,택배 택배 분실 택배 오늘 찾다 정확하다 기숙사 주소 적지 똑같다 다른 택배 기숙사 부분 찾다 역시 찾다 오늘 뒤지다 택배 송사 확인 여쭈다 성과 혹시 결론 찾다 어떡하다,평소,0
1900-11-02 00:00:00,2025-09-02,복지/음료,내 택배 어디갔어..,내 프로틴이랑 아르기닌.. eaa... 누가 가져갓어,내 택배 어디갔어 내 프로틴이랑 아르기닌 eaa 누가 가져갓어,택배 프로 아르기닌 누가,평소,0
1900-11-03 00:00:00,2025-06-12,복지/음료,통금 문제 가장 쉬운 방법있음,"사생회? 학생들로만 이루어지고 구성원이 매년 바뀌기 때문에 생지팀 사감보에 비해 목소리 내기도 힘든 구조임
사감보? 사실상 그저 야간 당직서는 콜센터임
생지팀 <<< 여기가 문제임 학생에게 도대체 어떤 생활 지원을 해주는 지 모르겠음
예전처럼 각 관에 경비선생님 있으면 됨 ㅇㅇ
지들 돈 아끼겠다고 코로나 끝났는데 아직도 미래관에만 통합경비실로 유지하고있으니 사건사고 예방이 안됨
그저 쌀먹하려고 학생들이 피해보는 구조임
(통합 택배도 비슷한 사례임)
(수정)반박시 내 말이 맞음 ㅇㅇ",통금 문제 가장 쉬운 방법있음 사생회 학생들로만 이루어지고 구성원이 매년 바뀌기 때문에 생지팀 사감보에 비해 목소리 내기도 힘든 구조임 사감보 사실상 그저 야간 당직서는 콜센터임 생지팀 여기가 문제임 학생에게 도대체 어떤 생활 지원을 해주는 지 모르겠음 예전처럼 각 관에 경비선생님 있으면 됨 ㅇㅇ 지들 돈 아끼겠다고 코로나 끝났는데 아직도 기숙사에만 통합경비실로 유지하고있으니 사건사고 예방이 안됨 그저 쌀먹하려고 학생들이 피해보는 구조임 통합 택배도 비슷한 사례임 수정 반박시 내 말이 맞음 ㅇㅇ,통금 가장 쉽다 방법 생회 학생 로만 이루어지다 구성원 매년 바뀌다 때문 사감 비다 목소리 내기 힘드다 구조 사감 사실 야간 직서 콜센터 학생 도대체 생활 지원 지다 예전 경비 선생님 지다 아끼다 코로나 끝나다 기숙사 통합 경비실 유지 사건 사고 예방 학생 구조 통합 택배 비슷하다 사례 수정 반박,시험기간,1900
1900-11-04 00:00:00,2025-05-17,복지/음료,확실히 택배보관실이 있긴 해야겠더라,"학술관이나 과기관으로 보내니 총무팀으로 택배가 넘어가고 그다음부턴 행방이 불명해짐

주말에 택배를 못 받는 건 아쉽지만 택배분실을 경험하고나니 이게 맞는 것 같음",확실히 택배보관실이 있긴 해야겠더라 학술정보원이나 과기관으로 보내니 총무팀으로 택배가 넘어가고 그다음부턴 행방이 불명해짐 주말에 택배를 못 받는 건 아쉽지만 택배분실을 경험하고나니 이게 맞는 것 같음,확실하다 택배 보관 학술정보원 기관 보내다 총무 택배 넘어가다 그다음 행방 불명 주말 택배 아쉽다 택배 분실 경험,평소,1900
1900-11-05 00:00:00,2025-05-15,복지/음료,자취하는데 대한통운은 왜 택배를 1층에 두냐,"다리 다친 사람은 어캐 하라고...

예전에 뉴스도 나왔는데 또 이러네 에휴",자취하는데 대한통운은 왜 택배를 1층에 두냐 다리 다친 사람은 어캐 하라고 예전에 뉴스도 나왔는데 또 이러네 에휴,자취 통운 택배 두다 다리 다치다 어캐 하라 예전 뉴스 이르다,평소,0
1900-11-06 00:00:00,2025-05-10,복지/음료,쿠팡,"긱사로 시켰는데 왜 택배함에 없지? 도착했다고 문자왔는데,,,",쿠팡 기숙사로 시켰는데 왜 택배함에 없지 도착했다고 문자왔는데,쿠팡 기숙사 시키다 택배 도착 문자,평소,0
1900-11-07 00:00:00,2025-05-07,복지/음료,택배 사라진거 어떻게함?,"택배가 배송 잘못되어서 농심관에 왔는데 농심관 가보니까 택배가 없는데;;; 호연학사 택배보관실도 없고
혹시 농심관 택배보관함 누가 관리하는지 아는사람?",택배 사라진거 어떻게함 택배가 배송 잘못되어서 농심관에 왔는데 농심관 가보니까 택배가 없는데 기숙사 택배보관실도 없고 혹시 농심관 택배보관함 누가 관리하는지 아는사람,택배 사라지다 택배 배송 되어다 농심 농심 가보 택배 기숙사 택배 보관 혹시 농심 택배 보관 누가 관리,평소,0
